,S.NO,Insurance Name,Age,Profile,Government/Private,Health Condition,Coverage
174,174,Health Gain by Reliance,18-50,Self and Spouse,private,Hypertension,500000
175,175,Health Infinity (More Time) by Reliance,18-50,Self and Spouse,private,Hypertension,500000
176,176,Health Infinity (More Cover) by Reliance,18-50,Self and Spouse,private,Hypertension,500000
177,177,Health QuBE Basic by Raheja QBE,18-50,Self and Spouse,private,Others,300000
178,178,Health QuBE Comprehensive by Raheja QBE,18-50,Self and Spouse,private,Others,300000
179,179,Arogya Sanjeevani by Reliance,18-50,Self and Spouse and 1Kid,private,Others,300000
180,180,Health QuBE Basic by Raheja QBE,18-50,Self and Spouse and 1Kid,private,Others,300000
181,181,Health QuBE Comprehensive by Raheja QBE,18-50,Self and Spouse and 1Kid,private,Others,300000
182,182,Health QuBE SuperSaver by Raheja QBE,18-50,Self and Spouse and 1Kid,private,Others,300000
183,183,Arogya Sanjeevani by Raheja QBE,18-50,Self and Spouse and 1Kid,private,Others,300000
184,184,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
185,185,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
186,186,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
187,187,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
188,188,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
189,189,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
190,190,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
191,191,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
192,192,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
193,193,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
194,194,Aspire Gold+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
195,195,Aspire Diamond+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
196,196,Aspire Platinum+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
197,197,Aspire Titanium+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
198,198,Health ReAssure  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Diabetes,500000
199,199,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
200,200,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
201,201,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
202,202,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
203,203,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
204,204,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
205,205,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
206,206,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
207,207,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
208,208,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
209,209,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
210,210,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
211,211,Aspire Gold+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
212,212,Aspire Diamond+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
213,213,Aspire Platinum+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
214,214,Aspire Titanium+  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
215,215,Health ReAssure  by Niva Bupa,18-50,Self and Spouse and 1Kid,private,Hypertension,500000
216,216,Arogya Sanjeevani by Reliance,18-50,Self and Spouse and 2Kids,private,Others,300000
217,217,Health QuBE Basic by Raheja QBE,18-50,Self and Spouse and 2Kids,private,Others,300000
218,218,Health QuBE Comprehensive by Raheja QBE,18-50,Self and Spouse and 2Kids,private,Others,300000
219,219,Health QuBE SuperSaver by Raheja QBE,18-50,Self and Spouse and 2Kids,private,Others,300000
220,220,Arogya Sanjeevani by Raheja QBE,18-50,Self and Spouse and 2Kids,private,Others,300000
221,221,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
222,222,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
223,223,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
224,224,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
225,225,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
226,226,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
227,227,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
228,228,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
229,229,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
230,230,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
231,231,Aspire Gold+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
232,232,Aspire Diamond+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
233,233,Aspire Platinum+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
234,234,Aspire Titanium+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
235,235,Health ReAssure  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Diabetes,500000
236,236,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
237,237,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
238,238,Aspire Gold+ (Direct) by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
239,239,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
240,240,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
241,241,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
242,242,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
243,243,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
244,244,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
245,245,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
246,246,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
247,247,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
248,248,Aspire Gold+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
249,249,Aspire Diamond+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
250,250,Aspire Platinum+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
251,251,Aspire Titanium+  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
252,252,Health ReAssure  by Niva Bupa,18-50,Self and Spouse and 2Kids,private,Hypertension,500000
253,253,Arogya Sanjeevani by Reliance,18-50,Senior Citizen,private,Others,300000
254,254,Health QuBE Basic by Raheja QBE,18-50,Senior Citizen,private,Others,300000
255,255,Health QuBE Comprehensive by Raheja QBE,18-50,Senior Citizen,private,Others,300000
256,256,Health QuBE SuperSaver by Raheja QBE,18-50,Senior Citizen,private,Others,300000
257,257,Arogya Sanjeevani by Raheja QBE,18-50,Senior Citizen,private,Others,300000
258,258,Aspire Gold+ (Direct) by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
259,259,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
260,260,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
261,261,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
262,262,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
263,263,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
264,264,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
265,265,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
266,266,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
267,267,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
268,268,Aspire Gold+  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
269,269,Aspire Diamond+  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
270,270,Aspire Platinum+  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
271,271,Aspire Titanium+  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
272,272,Health ReAssure  by Niva Bupa,18-50,Senior Citizen,private,Diabetes,500000
273,273,Aspire Gold+ (Direct) by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
274,274,ReAssure 2.0 Bronze+ (Direct) by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
275,275,Aspire Gold+ (Direct) by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
276,276,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
277,277,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
278,278,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
279,279,Aspire Diamond+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
280,280,Aspire Platinum+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
281,281,Aspire Titanium+ (Direct)  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
282,282,ReAssure 2.0 Bronze+  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
283,283,ReAssure 2.0 Platinum  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
284,284,ReAssure 2.0 Titanium+  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
285,285,Aspire Gold+  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
286,286,Aspire Diamond+  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
287,287,Aspire Platinum+  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
288,288,Aspire Titanium+  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
289,289,Health ReAssure  by Niva Bupa,18-50,Senior Citizen,private,Hypertension,500000
290,290,Health ReAssure by Niva Bupa,18-65,Self,private,Diabetes,500000
